classification;Hutform;Hutoberfläche;Hutfarbe;blaeut;Geruch;Lamellenbefestigung;Lamellenabstand;Lamellengroesse;Lamellenfarbe;Stielform;Stielansatz;Stieloberflaeche-ueber-Ring;Stieloberflaeche-unter-Ring;Stielfarbe-ueber-Ring;Stielfarbe-unter-Ring;Velum-Typ;Velum-Farbe;Manschette-Anzahl;Manschette-Typ;Sporenabdruckfarbe;Vorkommen;Habitat
essbar;flach;schuppig;braun;ja;kein;lose;nah;breit;pink;verjuengend;knollig;glatt;glatt;weiss;pink;partiale;weiss;eine;haengend;schwarz;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
essbar;flach;faserig;zimtfarben;nein;kein;lose;beengt;eng;weiss;verdickend;knollig;glatt;faserig;weiss;braun;partiale;weiss;eine;vergaenglich;weiss;einige;Laub
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;gelb;nein;kein;lose;nah;eng;weiss;verdickend;?;seidig;schuppig;weiss;gelb;partiale;weiss;eine;vergaenglich;weiss;einige;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;glatt;grau;ja;faulig;lose;nah;breit;pink;verjuengend;knollig;faserig;glatt;weiss;weiss;partiale;weiss;eine;haengend;schokoladen;einige;Gras
essbar;flach;glatt;braun;ja;kein;lose;nah;breit;rot;verdickend;?;glatt;glatt;weiss;weiss;partiale;weiss;zwei;vergaenglich;weiss;gebuendelt;Oedland
giftig;konvex;schuppig;braun;nein;fischig;lose;nah;eng;gelbbraun;verjuengend;?;glatt;seidig;pink;pink;partiale;weiss;eine;vergaenglich;weiss;einige;Wege
giftig;konvex;glatt;grau;nein;teerig;lose;beengt;eng;violett;verdickend;knollig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
essbar;konvex;glatt;gelbbraun;ja;kein;lose;nah;breit;weiss;verdickend;?;glatt;glatt;rot;weiss;partiale;weiss;zwei;vergaenglich;weiss;gebuendelt;Oedland
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;braun;nein;wuerzig;lose;nah;eng;gelbbraun;verjuengend;?;glatt;glatt;pink;pink;partiale;weiss;eine;vergaenglich;weiss;einige;Laub
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
essbar;konvex;schuppig;violett;nein;kein;lose;nah;eng;schokoladen;verdickend;?;glatt;faserig;weiss;weiss;partiale;weiss;eine;aufsteigend;schokoladen;einige;Wald
essbar;flach;schuppig;gelbbraun;ja;kein;lose;nah;breit;rot;verdickend;?;glatt;glatt;rot;rot;partiale;weiss;zwei;vergaenglich;weiss;gebuendelt;Oedland
giftig;flach;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;glatt;gelbbraun;ja;faulig;lose;nah;breit;weiss;verjuengend;knollig;glatt;faserig;weiss;weiss;partiale;weiss;eine;haengend;schokoladen;einige;Gras
giftig;flach;glatt;weiss;ja;kein;lose;nah;breit;grau;verdickend;knollig;glatt;glatt;weiss;weiss;partiale;weiss;zwei;haengend;gruen;einige;Weiden
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
essbar;flach;faserig;grau;ja;kein;lose;nah;breit;violett;verjuengend;knollig;glatt;glatt;grau;grau;partiale;weiss;eine;haengend;braun;einige;Wald
essbar;konvex;schuppig;violett;nein;kein;lose;nah;eng;violett;verdickend;?;glatt;faserig;weiss;weiss;partiale;weiss;eine;aufsteigend;schokoladen;einige;Wald
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
essbar;flach;faserig;rot;ja;kein;lose;nah;breit;weiss;verjuengend;knollig;glatt;glatt;weiss;grau;partiale;weiss;eine;haengend;braun;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;faserig;weiss;nein;teerig;lose;nah;eng;grau;verdickend;knollig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;braun;einige;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;braun;nein;fischig;lose;nah;eng;gelbbraun;verjuengend;?;glatt;glatt;pink;weiss;partiale;weiss;eine;vergaenglich;weiss;einige;Wald
essbar;flach;schuppig;gelbbraun;ja;kein;lose;nah;breit;weiss;verdickend;?;glatt;glatt;weiss;weiss;partiale;weiss;zwei;vergaenglich;weiss;gebuendelt;Oedland
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;pink;partiale;weiss;eine;gross;schokoladen;einige;Gras
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;gelbbraun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;braun;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;pink;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einzeln;Gras
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;gelbbraun;braun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;faserig;grau;nein;faulig;lose;nah;breit;schokoladen;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;faserig;grau;nein;teerig;lose;nah;eng;violett;verdickend;knollig;glatt;glatt;weiss;weiss;partiale;weiss;eine;haengend;schwarz;vereinzelt;Wald
giftig;flach;glatt;gelbbraun;ja;faulig;lose;nah;breit;weiss;verjuengend;knollig;faserig;faserig;weiss;weiss;partiale;weiss;eine;haengend;schokoladen;einige;Gras
essbar;flach;faserig;rot;ja;kein;lose;nah;breit;weiss;verjuengend;knollig;glatt;glatt;grau;weiss;partiale;weiss;eine;haengend;schwarz;einige;Wald
giftig;konvex;schuppig;gelb;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einige;Wege
giftig;konvex;schuppig;grau;nein;faulig;lose;nah;breit;pink;verdickend;knollig;seidig;seidig;pink;braun;partiale;weiss;eine;gross;schokoladen;einzeln;Wald
giftig;flach;schuppig;grau;nein;faulig;lose;nah;breit;grau;verdickend;knollig;seidig;seidig;braun;gelbbraun;partiale;weiss;eine;gross;schokoladen;einige;Gras
